model_id,task,vagueness_level,field_id,field_stability,required
claude-sonnet-4-6,gdpr,baseline,dpia_record,1.0,False
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.alternatives_considered,0.6667,False
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.data_minimisation,0.0,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.data_subject_rights,0.3333,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.lawful_basis,1.0,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.necessity_justification,1.0,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.proportionality_justification,0.6667,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.purpose_limitation,0.0,False
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.storage_limitation,0.3333,True
claude-sonnet-4-6,gdpr,baseline,necessity_proportionality.transparency,0.3333,False
claude-sonnet-4-6,gdpr,baseline,processing_description.actors,1.0,True
claude-sonnet-4-6,gdpr,baseline,processing_description.data_flows,1.0,False
claude-sonnet-4-6,gdpr,baseline,processing_description.data_subjects.categories,1.0,True
claude-sonnet-4-6,gdpr,baseline,processing_description.nature,1.0,True
claude-sonnet-4-6,gdpr,baseline,processing_description.purposes.stated_purposes,1.0,True
claude-sonnet-4-6,gdpr,baseline,processing_description.scope.data_categories,1.0,True
claude-sonnet-4-6,gdpr,baseline,processing_description.scope.retention_period,1.0,True
claude-sonnet-4-6,gdpr,baseline,risk_assessment.identified_risks,1.0,True
claude-sonnet-4-6,gdpr,baseline,risk_assessment.residual_risk,0.6667,True
claude-sonnet-4-6,gdpr,baseline,risk_assessment.risk_likelihood,0.6667,True
claude-sonnet-4-6,gdpr,baseline,risk_assessment.risk_severity,1.0,True
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.compliance_mechanisms,0.0,True
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.consultation.data_subjects,0.0,False
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.consultation.dpo,0.0,False
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.consultation.supervisory_authority,0.3333,False
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.organisational_measures,1.0,True
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.review_and_sign_off,0.0,False
claude-sonnet-4-6,gdpr,baseline,risk_mitigation.technical_measures,1.0,True
claude-sonnet-4-6,gdpr,high,dpia_record,0.6667,False
claude-sonnet-4-6,gdpr,high,necessity_proportionality.alternatives_considered,0.6667,False
claude-sonnet-4-6,gdpr,high,necessity_proportionality.data_minimisation,0.3333,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.data_subject_rights,0.3333,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.lawful_basis,1.0,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.necessity_justification,1.0,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.proportionality_justification,1.0,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.purpose_limitation,0.6667,False
claude-sonnet-4-6,gdpr,high,necessity_proportionality.storage_limitation,1.0,True
claude-sonnet-4-6,gdpr,high,necessity_proportionality.transparency,0.0,False
claude-sonnet-4-6,gdpr,high,processing_description.actors,1.0,True
claude-sonnet-4-6,gdpr,high,processing_description.data_flows,1.0,False
claude-sonnet-4-6,gdpr,high,processing_description.data_subjects.categories,1.0,True
claude-sonnet-4-6,gdpr,high,processing_description.nature,1.0,True
